LOCATION,DATE_TIME,DATE,TIME,SENSOR_ID,DC_POWER,AC_POWER,DAILY_YIELD,DAILY_YIELD_diff,TOTAL_YIELD,TOTAL_YIELD_diff,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
A,2020-05-15 00:00:00,2020-05-15,00:00:00,sensor 36,0.0,0.0,0.0,,7016832.0,,25.184316133333333,22.8575074,0.0
A,2020-05-15 00:15:00,2020-05-15,00:15:00,sensor 36,0.0,0.0,0.0,0.0,7016832.0,0.0,25.08458866666667,22.761667866666663,0.0
A,2020-05-15 00:30:00,2020-05-15,00:30:00,sensor 36,0.0,0.0,0.0,0.0,7016832.0,0.0,24.935752600000004,22.59230553333333,0.0
A,2020-05-15 00:45:00,2020-05-15,00:45:00,sensor 36,0.0,0.0,0.0,0.0,7016832.0,0.0,24.8461304,22.36085213333333,0.0
A,2020-05-15 01:00:00,2020-05-15,01:00:00,sensor 36,0.0,0.0,0.0,0.0,7016832.0,0.0,24.621525357142858,22.165422642857145,0.0
A,2020-05-15 01:15:00,2020-05-15,01:15:00,sensor 36,0.0,0.0,0.0,0.0,7016832.0,0.0,24.5360922,21.968570866666667,0.0
A,2020-05-15 01:30:00,2020-05-15,01:30:00,sensor 36,0.0,0.0,0.0,0.0,7016832.0,0.0,24.638673866666664,22.352925666666668,0.0
A,2020-05-15 01:45:00,2020-05-15,01:45:00,sensor 36,0.0,0.0,0.0,0.0,7016832.0,0.0,24.87302233333333,23.1609192,0.0
A,2020-05-15 02:00:00,2020-05-15,02:00:00,sensor 36,0.0,0.0,0.0,0.0,7016832.0,0.0,24.936930466666663,23.026113,0.0
A,2020-05-15 02:15:00,2020-05-15,02:15:00,sensor 36,0.0,0.0,0.0,0.0,7016832.0,0.0,25.0122476,23.343229266666665,0.0
A,2020-05-15 02:30:00,2020-05-15,02:30:00,sensor 36,0.0,0.0,0.0,0.0,7016832.0,0.0,25.00514933333333,23.639459266666663,0.0
A,2020-05-15 02:45:00,2020-05-15,02:45:00,sensor 36,0.0,0.0,0.0,0.0,7016832.0,0.0,24.993019533333328,24.0394858,0.0
A,2020-05-15 03:00:00,2020-05-15,03:00:00,sensor 36,0.0,0.0,0.0,0.0,7016832.0,0.0,25.016309428571425,24.384135571428573,0.0
A,2020-05-15 03:15:00,2020-05-15,03:15:00,sensor 36,0.0,0.0,0.0,0.0,7016832.0,0.0,24.985215266666664,24.35150773333333,0.0
A,2020-05-15 03:30:00,2020-05-15,03:30:00,sensor 36,0.0,0.0,0.0,0.0,7016832.0,0.0,24.93773193333333,24.060296533333336,0.0
A,2020-05-15 03:45:00,2020-05-15,03:45:00,sensor 36,0.0,0.0,0.0,0.0,7016832.0,0.0,24.87909953333333,23.709794133333336,0.0
A,2020-05-15 04:00:00,2020-05-15,04:00:00,sensor 36,0.0,0.0,0.0,0.0,7016832.0,0.0,24.6789022,22.58994153333333,0.0
A,2020-05-15 04:15:00,2020-05-15,04:15:00,sensor 36,0.0,0.0,0.0,0.0,7016832.0,0.0,24.3519308,21.78364253333333,0.0
A,2020-05-15 04:30:00,2020-05-15,04:30:00,sensor 36,0.0,0.0,0.0,0.0,7016832.0,0.0,24.0626222,21.85252493333333,0.0
A,2020-05-15 04:45:00,2020-05-15,04:45:00,sensor 36,0.0,0.0,0.0,0.0,7016832.0,0.0,24.013224200000003,22.306315,0.0
A,2020-05-15 05:00:00,2020-05-15,05:00:00,sensor 36,0.0,0.0,0.0,0.0,7016832.0,0.0,24.1771058,22.551908466666664,0.0
A,2020-05-15 05:15:00,2020-05-15,05:15:00,sensor 36,0.0,0.0,0.0,0.0,7016832.0,0.0,24.304888,22.979492071428577,0.0
A,2020-05-15 05:30:00,2020-05-15,05:30:00,sensor 36,0.0,0.0,0.0,0.0,7016832.0,0.0,24.328727266666665,23.452380466666668,0.0
A,2020-05-15 05:45:00,2020-05-15,05:45:00,sensor 36,0.0,0.0,0.0,0.0,7016832.0,0.0,24.28921113333333,23.09669193333333,0.0008627212413333
A,2020-05-15 06:00:00,2020-05-15,06:00:00,sensor 36,52.625,5.075,0.0,0.0,7016832.0,0.0,24.088446066666663,22.2067566,0.0058869571866666
A,2020-05-15 06:15:00,2020-05-15,06:15:00,sensor 36,303.0,29.25714286,3.0,3.0,7016835.0,3.0,24.01163526666667,22.35345866666667,0.0222816074666666
A,2020-05-15 06:30:00,2020-05-15,06:30:00,sensor 36,683.25,66.2125,14.75,11.75,7016846.75,11.75,23.976731266666665,22.893282,0.0494097238666666
A,2020-05-15 06:45:00,2020-05-15,06:45:00,sensor 36,1296.714286,126.3714286,37.42857143,22.67857143,7016869.429,22.678999999538064,24.21899,24.442443933333333,0.0953944536
A,2020-05-15 07:00:00,2020-05-15,07:00:00,sensor 36,1877.125,184.0125,78.125,40.69642857,7016910.125,40.696000000461936,24.5373984,27.185652866666665,0.1419404433333333
A,2020-05-15 07:15:00,2020-05-15,07:15:00,sensor 36,2046.428571,200.6142857,125.8571429,47.7321429,7016957.857,47.73199999984354,24.8159595,28.888477857142853,0.1547126757142856
A,2020-05-15 07:30:00,2020-05-15,07:30:00,sensor 36,1969.25,193.0375,175.875,50.0178571,7017007.875,50.01800000015646,24.988789866666668,29.6056438,0.1487991533333333
A,2020-05-15 07:45:00,2020-05-15,07:45:00,sensor 36,2050.571429,201.0285714,224.0,48.125,7017056.0,48.125,25.21618033333333,29.547110933333336,0.1447934189333333
A,2020-05-15 08:00:00,2020-05-15,08:00:00,sensor 36,2996.875,294.3125,284.0,60.0,7017116.0,60.0,25.41951306666667,31.412544733333327,0.2016386213333333
A,2020-05-15 08:15:00,2020-05-15,08:15:00,sensor 36,5169.0,506.8,383.8571429,99.8571429,7017215.857,99.85699999984354,25.95908213333333,35.5287108,0.3457076533333333
A,2020-05-15 08:30:00,2020-05-15,08:30:00,sensor 36,5472.5,536.425,520.375,136.5178571,7017352.375,136.51800000015646,26.430782066666666,40.3180586,0.4053485726666666
A,2020-05-15 08:45:00,2020-05-15,08:45:00,sensor 36,3493.857143,343.2714286,625.8571429,105.4821429,7017457.857,105.48199999984354,26.8318298,39.08195373333332,0.3124267953333332
A,2020-05-15 09:00:00,2020-05-15,09:00:00,sensor 36,7380.571429,722.6,745.1428571,119.28571420000004,7017577.143,119.28600000031292,27.6209698,45.0092326,0.6231526486666666
