DATE_TIME,DATE,TIME,SENSOR_ID,DC_POWER,AC_POWER,DAILY_YIELD,DAILY_YIELD_diff,TOTAL_YIELD,TOTAL_YIELD_diff,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
2020-05-15 00:00:00,2020-05-15,00:00:00,sensor 28,0.0,0.0,0.0,,6185184.0,,25.184316133333333,22.8575074,0.0
2020-05-15 00:15:00,2020-05-15,00:15:00,sensor 28,0.0,0.0,0.0,0.0,6185184.0,0.0,25.08458866666667,22.761667866666663,0.0
2020-05-15 00:30:00,2020-05-15,00:30:00,sensor 28,0.0,0.0,0.0,0.0,6185184.0,0.0,24.935752600000004,22.59230553333333,0.0
2020-05-15 00:45:00,2020-05-15,00:45:00,sensor 28,0.0,0.0,0.0,0.0,6185184.0,0.0,24.8461304,22.36085213333333,0.0
2020-05-15 01:00:00,2020-05-15,01:00:00,sensor 28,0.0,0.0,0.0,0.0,6185184.0,0.0,24.621525357142858,22.165422642857145,0.0
2020-05-15 01:15:00,2020-05-15,01:15:00,sensor 28,0.0,0.0,0.0,0.0,6185184.0,0.0,24.5360922,21.968570866666667,0.0
2020-05-15 01:30:00,2020-05-15,01:30:00,sensor 28,0.0,0.0,0.0,0.0,6185184.0,0.0,24.638673866666664,22.352925666666668,0.0
2020-05-15 01:45:00,2020-05-15,01:45:00,sensor 28,0.0,0.0,0.0,0.0,6185184.0,0.0,24.87302233333333,23.1609192,0.0
2020-05-15 02:00:00,2020-05-15,02:00:00,sensor 28,0.0,0.0,0.0,0.0,6185184.0,0.0,24.936930466666663,23.026113,0.0
2020-05-15 02:15:00,2020-05-15,02:15:00,sensor 28,0.0,0.0,0.0,0.0,6185184.0,0.0,25.0122476,23.343229266666665,0.0
2020-05-15 02:30:00,2020-05-15,02:30:00,sensor 28,0.0,0.0,0.0,0.0,6185184.0,0.0,25.00514933333333,23.639459266666663,0.0
2020-05-15 02:45:00,2020-05-15,02:45:00,sensor 28,0.0,0.0,0.0,0.0,6185184.0,0.0,24.993019533333328,24.0394858,0.0
2020-05-15 03:00:00,2020-05-15,03:00:00,sensor 28,0.0,0.0,0.0,0.0,6185184.0,0.0,25.016309428571425,24.384135571428573,0.0
2020-05-15 03:15:00,2020-05-15,03:15:00,sensor 28,0.0,0.0,0.0,0.0,6185184.0,0.0,24.985215266666664,24.35150773333333,0.0
2020-05-15 03:30:00,2020-05-15,03:30:00,sensor 28,0.0,0.0,0.0,0.0,6185184.0,0.0,24.93773193333333,24.060296533333336,0.0
2020-05-15 03:45:00,2020-05-15,03:45:00,sensor 28,0.0,0.0,0.0,0.0,6185184.0,0.0,24.87909953333333,23.709794133333336,0.0
2020-05-15 04:00:00,2020-05-15,04:00:00,sensor 28,0.0,0.0,0.0,0.0,6185184.0,0.0,24.6789022,22.58994153333333,0.0
2020-05-15 04:15:00,2020-05-15,04:15:00,sensor 28,0.0,0.0,0.0,0.0,6185184.0,0.0,24.3519308,21.78364253333333,0.0
2020-05-15 04:30:00,2020-05-15,04:30:00,sensor 28,0.0,0.0,0.0,0.0,6185184.0,0.0,24.0626222,21.85252493333333,0.0
2020-05-15 04:45:00,2020-05-15,04:45:00,sensor 28,0.0,0.0,0.0,0.0,6185184.0,0.0,24.013224200000003,22.306315,0.0
2020-05-15 05:00:00,2020-05-15,05:00:00,sensor 28,0.0,0.0,0.0,0.0,6185184.0,0.0,24.1771058,22.551908466666664,0.0
2020-05-15 05:15:00,2020-05-15,05:15:00,sensor 28,0.0,0.0,0.0,0.0,6185184.0,0.0,24.304888,22.979492071428577,0.0
2020-05-15 05:30:00,2020-05-15,05:30:00,sensor 28,0.0,0.0,0.0,0.0,6185184.0,0.0,24.328727266666665,23.452380466666668,0.0
2020-05-15 05:45:00,2020-05-15,05:45:00,sensor 28,0.0,0.0,0.0,0.0,6185184.0,0.0,24.28921113333333,23.09669193333333,0.0008627212413333
2020-05-15 06:00:00,2020-05-15,06:00:00,sensor 28,50.16666667,4.85,0.0,0.0,6185184.0,0.0,24.088446066666663,22.2067566,0.0058869571866666
2020-05-15 06:15:00,2020-05-15,06:15:00,sensor 28,300.0,28.95714286,3.142857143,3.142857143,6185187.667,3.6670000003650784,24.01163526666667,22.35345866666667,0.0222816074666666
2020-05-15 06:30:00,2020-05-15,06:30:00,sensor 28,680.5,65.95,15.25,12.107142857,6185198.0,10.332999999634922,23.976731266666665,22.893282,0.0494097238666666
2020-05-15 06:45:00,2020-05-15,06:45:00,sensor 28,1400.0,136.6,40.66666667,25.41666667,6185222.2,24.200000000186265,24.21899,24.442443933333333,0.0953944536
2020-05-15 07:00:00,2020-05-15,07:00:00,sensor 28,1881.2,184.38,81.0,40.33333333,6185262.429,40.2289999993518,24.5373984,27.185652866666665,0.1419404433333333
2020-05-15 07:15:00,2020-05-15,07:15:00,sensor 28,2034.833333,199.4833333,121.3333333,40.33333330000001,6185316.2,53.7710000006482,24.8159595,28.888477857142853,0.1547126757142856
2020-05-15 07:30:00,2020-05-15,07:30:00,sensor 28,1974.666667,193.5833333,173.5,52.16666669999999,6185357.571,41.37100000027567,24.988789866666668,29.6056438,0.1487991533333333
2020-05-15 07:45:00,2020-05-15,07:45:00,sensor 28,2026.857143,198.7285714,219.5714286,46.07142859999999,6185406.0,48.428999999538064,25.21618033333333,29.547110933333336,0.1447934189333333
2020-05-15 08:00:00,2020-05-15,08:00:00,sensor 28,3172.142857,311.5142857,285.2857143,65.7142857,6185465.0,59.0,25.41951306666667,31.412544733333327,0.2016386213333333
2020-05-15 08:15:00,2020-05-15,08:15:00,sensor 28,4205.8,413.02,371.6,86.31428570000003,6185555.143,90.14300000015646,25.95908213333333,35.5287108,0.3457076533333333
2020-05-15 08:30:00,2020-05-15,08:30:00,sensor 28,4959.333333,486.4333333,472.6666667,101.06666669999998,6185657.6,102.456999999471,26.430782066666666,40.3180586,0.4053485726666666
2020-05-15 08:45:00,2020-05-15,08:45:00,sensor 28,3442.571429,338.2,584.4285714,111.7619047,6185764.5,106.90000000037251,26.8318298,39.08195373333332,0.3124267953333332
2020-05-15 09:00:00,2020-05-15,09:00:00,sensor 28,7889.571429,772.2857143,738.2857143,153.8571429,6185910.286,145.78600000031292,27.6209698,45.0092326,0.6231526486666666
2020-05-15 09:15:00,2020-05-15,09:15:00,sensor 28,5475.571429,536.5857143,909.2857143,171.0,6186090.4,180.1140000000596,27.98836207142857,46.6177065,0.3448840357142857
2020-05-15 09:30:00,2020-05-15,09:30:00,sensor 28,3395.857143,333.2714286,1001.857143,92.57142869999996,6186196.75,106.34999999962749,27.516727866666667,39.136326,0.2492484
2020-05-15 09:45:00,2020-05-15,09:45:00,sensor 28,7024.5,687.85,1126.166667,124.309524,6186305.571,108.82100000046194,27.450107666666668,40.93057693333333,0.5412059773333334
2020-05-15 10:00:00,2020-05-15,10:00:00,sensor 28,7627.75,746.55,1342.625,216.45833300000004,6186536.857,231.2859999993816,28.632191866666663,52.5477356,0.670675372
2020-05-15 10:15:00,2020-05-15,10:15:00,sensor 28,8989.0,878.55,1529.5,186.875,6186695.25,158.39300000015646,28.768912733333337,47.633738,0.5722834766666666
2020-05-15 10:30:00,2020-05-15,10:30:00,sensor 28,5035.6,493.74,1695.8,166.29999999999995,6186877.0,181.75,29.35144260000001,49.249723266666656,0.4551483833333333
2020-05-15 10:45:00,2020-05-15,10:45:00,sensor 28,4621.0,453.32,1822.4,126.60000000000014,6186996.429,119.42899999953806,28.854707866666665,44.048325600000005,0.3619616539999999
2020-05-15 11:00:00,2020-05-15,11:00:00,sensor 28,8766.0,857.02,1947.4,125.0,6187135.833,139.40400000009686,29.410819333333336,47.68545339999999,0.6365608813333332
2020-05-15 11:15:00,2020-05-15,11:15:00,sensor 28,6663.333333,652.5333333,2166.333333,218.93333299999995,6187332.833,197.0,30.21606228571428,50.006988571428565,0.5857872135714286
2020-05-15 11:30:00,2020-05-15,11:30:00,sensor 28,5802.142857,568.5714286,2316.857143,150.52381000000014,6187503.8,170.9670000001788,30.2870728,49.8413636,0.5570693833333333
