DATE_TIME,DATE,TIME,TIME_PERIOD,SEASON,DC_POWER,AC_POWER,Conversion_Efficiency,Normalized_Power,DAILY_YIELD,DAILY_YIELD_diff,TOTAL_YIELD,TOTAL_YIELD_diff,Energy_Per_Irradiation,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
2020-05-15 00:00:00,2020-05-15,00:00:00,1,2,0.0,0.0,0.0,0.0,9425.0,,2429011.0,,,27.004763700000005,25.0607889,0.0
2020-05-15 00:15:00,2020-05-15,00:15:00,1,2,0.0,0.0,0.0,0.0,9425.0,0.0,2429011.0,0.0,0.0,26.880811433333328,24.421868833333328,0.0
2020-05-15 00:30:00,2020-05-15,00:30:00,1,2,0.0,0.0,0.0,0.0,9425.0,0.0,2429011.0,0.0,0.0,26.682055344827592,24.427290310344823,0.0
2020-05-15 00:45:00,2020-05-15,00:45:00,1,2,0.0,0.0,0.0,0.0,9425.0,0.0,2429011.0,0.0,0.0,26.500588900000004,24.4206776,0.0
2020-05-15 01:00:00,2020-05-15,01:00:00,1,2,0.0,0.0,0.0,0.0,9425.0,0.0,2429011.0,0.0,0.0,26.596148,25.088210413793107,0.0
2020-05-15 01:15:00,2020-05-15,01:15:00,1,2,0.0,0.0,0.0,0.0,0.0,-9425.0,2429011.0,0.0,0.0,26.512740033333333,25.31796966666667,0.0
2020-05-15 01:30:00,2020-05-15,01:30:00,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2429011.0,0.0,0.0,26.494338966666664,25.217192533333336,0.0
2020-05-15 01:45:00,2020-05-15,01:45:00,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2429011.0,0.0,0.0,26.420410206896552,25.065062310344832,0.0
2020-05-15 02:00:00,2020-05-15,02:00:00,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2429011.0,0.0,0.0,26.401946133333333,24.691469366666656,0.0
2020-05-15 02:15:00,2020-05-15,02:15:00,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2429011.0,0.0,0.0,26.22607820689656,24.55948079310345,0.0
2020-05-15 02:30:00,2020-05-15,02:30:00,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2429011.0,0.0,0.0,26.2603992,24.482406633333337,0.0
2020-05-15 02:45:00,2020-05-15,02:45:00,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2429011.0,0.0,0.0,26.2978261,24.4886982,0.0
2020-05-15 03:00:00,2020-05-15,03:00:00,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2429011.0,0.0,0.0,26.328249103448275,24.50628962068966,0.0
2020-05-15 03:15:00,2020-05-15,03:15:00,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2429011.0,0.0,0.0,26.15870973333333,24.595197433333333,0.0
2020-05-15 03:30:00,2020-05-15,03:30:00,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2429011.0,0.0,0.0,26.078499333333333,24.801314366666663,0.0
2020-05-15 03:45:00,2020-05-15,03:45:00,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2429011.0,0.0,0.0,26.00130396551724,24.60781744827586,0.0
2020-05-15 04:00:00,2020-05-15,04:00:00,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2429011.0,0.0,0.0,25.6972106,24.626179,0.0
2020-05-15 04:15:00,2020-05-15,04:15:00,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2429011.0,0.0,0.0,25.6277024137931,24.773145068965515,0.0
2020-05-15 04:30:00,2020-05-15,04:30:00,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2429011.0,0.0,0.0,25.482045785714284,24.796690750000003,0.0
2020-05-15 04:45:00,2020-05-15,04:45:00,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2429011.0,0.0,0.0,25.23093168965517,24.43690427586207,0.0
2020-05-15 05:00:00,2020-05-15,05:00:00,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2429011.0,0.0,0.0,25.1175986,24.104579633333337,0.0
2020-05-15 05:15:00,2020-05-15,05:15:00,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2429011.0,0.0,0.0,25.0918621,23.897232,0.0
2020-05-15 05:30:00,2020-05-15,05:30:00,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2429011.0,0.0,0.0,24.916967827586213,23.83947131034483,0.0
2020-05-15 05:45:00,2020-05-15,05:45:00,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2429011.0,0.0,0.0,24.741273799999995,23.7866618,0.002838054505
2020-05-15 06:00:00,2020-05-15,06:00:00,1,2,15.406666666666665,14.86,0.964517524881004,1188.6045858385248,0.7999999999999999,0.7999999999999999,2429011.8000000003,0.8000000002793968,79.02074616474495,24.74278656666667,24.07722983333333,0.0129619781466666
2020-05-15 06:15:00,2020-05-15,06:15:00,1,2,27.433333333333334,26.493333333333336,0.9657351154313488,1304.010139766925,6.133333333333333,5.333333333333333,2429017.1333333333,5.3333333330228925,660.4182369123026,24.76391089655172,24.356189448275863,0.0210376687241379
2020-05-15 06:30:00,2020-05-15,06:30:00,1,2,58.885714285714286,57.02857142857143,0.9684619116933528,1387.6554874790806,15.714285714285714,9.58095238095238,2429026.714285714,9.580952380783856,447.7555449697268,24.7863229,24.548886100000004,0.042435399
2020-05-15 06:45:00,2020-05-15,06:45:00,1,2,158.01333333333335,154.48666666666668,0.9776812083368492,1526.759672562655,39.46666666666666,23.752380952380943,2429050.466666667,23.752380952704694,388.9976169130213,25.04824510344827,25.746662,0.1034958783448276
2020-05-15 07:00:00,2020-05-15,07:00:00,2,2,313.83333333333326,308.34000000000003,0.9824960169941586,1573.4899588302328,98.53333333333336,59.0666666666667,2429109.5333333337,59.066666666883975,615.5688564271607,25.6732025,28.67470703333333,0.1994504836666666
2020-05-15 07:15:00,2020-05-15,07:15:00,2,2,393.56,386.72,0.9826201849781484,1238.915108554899,185.8666666666667,87.33333333333334,2429196.8666666667,87.33333333302289,738.7697969397494,26.076818,30.72550493103449,0.317665025862069
2020-05-15 07:30:00,2020-05-15,07:30:00,2,2,473.86666666666673,464.88666666666666,0.9810495216657286,1237.5297183194857,293.4666666666667,107.6,2429304.466666667,107.60000000009312,1649.08416321689,26.424239066666665,32.206803566666665,0.3829133633333333
