IS_ANOMALY,LOCATION,DATE_TIME,SENSOR_NUMBER,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD
False,A,2020-05-15 06:00:00,3,58.0,5.585714286,0.0,6987759.0
False,A,2020-05-15 06:15:00,3,318.625,30.775,3.5,6987762.5
False,A,2020-05-15 06:30:00,3,720.0,69.8,15.14285714,6987774.143
False,A,2020-05-15 06:45:00,3,1306.714286,127.4142857,37.0,6987796.0
False,A,2020-05-15 07:00:00,3,1963.375,192.45,79.5,6987838.5
False,A,2020-05-15 07:15:00,3,2090.285714,204.9285714,129.7142857,6987888.714
False,A,2020-05-15 07:30:00,3,2071.25,203.05,181.875,6987940.875
False,A,2020-05-15 07:45:00,3,2122.857143,208.1142857,231.2857143,6987990.286
False,A,2020-05-15 08:00:00,3,2736.125,268.625,287.75,6988046.75
False,A,2020-05-15 08:15:00,3,4523.714286,443.9571429,376.0,6988135.0
False,A,2020-05-15 08:30:00,3,4991.5,489.5875,501.5,6988260.5
False,A,2020-05-15 08:45:00,3,5567.428571,545.7285714,613.2857143,6988372.286
False,A,2020-05-15 09:00:00,3,7681.875,752.0375,798.0,6988557.0
False,A,2020-05-15 09:15:00,3,3170.142857,311.3857143,929.2857143,6988688.286
False,A,2020-05-15 09:30:00,3,3819.375,374.6375,1004.375,6988763.375
False,A,2020-05-15 09:45:00,3,7804.0,763.2857143,1138.0,6988897.0
False,A,2020-05-15 10:00:00,3,7384.625,722.0,1366.375,6989125.375
False,A,2020-05-15 10:15:00,3,5928.857143,581.1,1509.0,6989268.0
False,A,2020-05-15 10:30:00,3,5319.857143,521.6,1661.857143,6989420.857
False,A,2020-05-15 10:45:00,3,4999.75,490.3875,1791.75,6989550.75
False,A,2020-05-15 11:00:00,3,7337.428571,717.8714286,1949.571429,6989708.571
False,A,2020-05-15 11:15:00,3,5851.75,573.425,2110.375,6989869.375
False,A,2020-05-15 11:30:00,3,8226.857143,803.6714286,2295.857143,6990054.857
False,A,2020-05-15 11:45:00,3,8749.375,855.275,2471.25,6990230.25
False,A,2020-05-15 12:00:00,3,6402.571429,626.8714286,2676.285714,6990435.286
False,A,2020-05-15 12:15:00,3,8377.25,819.0125,2876.375,6990635.375
False,A,2020-05-15 12:30:00,3,10452.71429,1020.728571,3103.142857,6990862.143
False,A,2020-05-15 12:45:00,3,8735.75,854.25,3337.625,6991096.625
False,A,2020-05-15 13:00:00,3,6364.428571,623.4,3508.0,6991267.0
False,A,2020-05-15 13:15:00,3,7056.125,691.0125,3679.625,6991438.625
False,A,2020-05-15 13:30:00,3,8197.714286,802.3428571,3866.428571,6991625.429
False,A,2020-05-15 13:45:00,3,7803.285714,763.8571429,4047.0,6991806.0
False,A,2020-05-15 14:00:00,3,10297.125,1006.6375,4263.625,6992022.625
False,A,2020-05-15 14:15:00,3,12158.28571,1185.957143,4536.285714,6992295.286
False,A,2020-05-15 14:30:00,3,7270.875,711.4,4797.375,6992556.375
False,A,2020-05-15 14:45:00,3,6913.0,676.4571429,4958.0,6992717.0
False,A,2020-05-15 15:00:00,3,5306.0,520.2,5119.5,6992878.5
False,A,2020-05-15 15:15:00,3,8172.428571,799.8,5274.857143,6993033.857
False,A,2020-05-15 15:30:00,3,7990.75,782.1125,5479.375,6993238.375
False,A,2020-05-15 15:45:00,3,5222.571429,512.1857143,5629.0,6993388.0
False,A,2020-05-15 16:00:00,3,4791.875,470.1125,5770.875,6993529.875
False,A,2020-05-15 16:15:00,3,4325.571429,424.5857143,5874.0,6993633.0
False,A,2020-05-15 16:30:00,3,4488.25,440.6375,5988.375,6993747.375
False,A,2020-05-15 16:45:00,3,3331.714286,327.4714286,6085.428571,6993844.429
False,A,2020-05-15 17:00:00,3,2135.25,209.3375,6150.875,6993909.875
False,A,2020-05-15 17:15:00,3,2145.714286,210.3714286,6204.285714,6993963.286
False,A,2020-05-15 17:30:00,3,1170.0,114.025,6236.25,6993995.25
False,A,2020-05-15 17:45:00,3,516.125,49.925,6258.0,6994017.0
False,A,2020-05-15 18:00:00,3,296.2857143,28.61428571,6268.285714,6994027.286
False,A,2020-05-15 18:15:00,3,100.625,9.7,6272.875,6994031.875
False,A,2020-05-16 06:00:00,3,56.625,5.4625,0.0,6994033.0
False,A,2020-05-16 06:15:00,3,346.5714286,33.48571429,3.714285714,6994036.714
False,A,2020-05-16 06:30:00,3,724.75,70.275,16.875,6994049.875
False,A,2020-05-16 06:45:00,3,1167.285714,113.5285714,39.28571429,6994072.286
False,A,2020-05-16 07:00:00,3,1605.125,156.9625,73.125,6994106.125
False,A,2020-05-16 07:15:00,3,2040.571429,200.0428571,117.5714286,6994150.571
False,A,2020-05-16 07:30:00,3,2525.714286,247.6714286,169.1428571,6994202.143
False,A,2020-05-16 07:45:00,3,3509.0,344.8375,241.5,6994274.5
False,A,2020-05-16 08:00:00,3,4354.285714,427.6142857,340.4285714,6994373.429
False,A,2020-05-16 08:15:00,3,5015.5,491.7125,457.75,6994490.75
False,A,2020-05-16 08:30:00,3,6138.0,601.3857143,590.4285714,6994623.429
False,A,2020-05-16 08:45:00,3,6697.75,656.0125,751.5,6994784.5
False,A,2020-05-16 09:00:00,3,6728.571429,659.0571429,919.2857143,6994952.286
False,A,2020-05-16 09:15:00,3,5961.375,584.15,1070.0,6995103.0
False,A,2020-05-16 09:30:00,3,6094.428571,597.1142857,1217.571429,6995250.571
False,A,2020-05-16 09:45:00,3,8112.875,794.0125,1389.375,6995422.375
False,A,2020-05-16 10:00:00,3,7518.571429,736.0285714,1599.285714,6995632.286
False,A,2020-05-16 10:15:00,3,7764.625,759.95,1766.875,6995799.875
False,A,2020-05-16 10:30:00,3,10182.0,995.4571429,1997.714286,6996030.714
False,A,2020-05-16 10:45:00,3,9655.125,944.15,2225.375,6996258.375
False,A,2020-05-16 11:00:00,3,8632.428571,844.5428571,2448.428571,6996481.429
False,A,2020-05-16 11:15:00,3,8106.571429,793.3428571,2647.142857,6996680.143
False,A,2020-05-16 11:30:00,3,6856.25,671.45,2836.75,6996869.75
False,A,2020-05-16 11:45:00,3,9016.0,881.9,3019.428571,6997052.429
False,A,2020-05-16 12:00:00,3,9562.5,935.2,3255.125,6997288.125
False,A,2020-05-16 12:15:00,3,8137.285714,796.3142857,3471.571429,6997504.571
False,A,2020-05-16 12:30:00,3,10864.0,1061.4375,3705.75,6997738.75
False,A,2020-05-16 12:45:00,3,11736.14286,1144.628571,3981.714286,6998014.714
False,A,2020-05-16 13:00:00,3,8671.375,848.15,4225.25,6998258.25
False,A,2020-05-16 13:15:00,3,10419.71429,1018.157143,4469.857143,6998502.857
False,A,2020-05-16 13:30:00,3,8173.125,799.7625,4691.875,6998724.875
False,A,2020-05-16 13:45:00,3,6800.0,665.9428571,4879.571429,6998912.571
False,A,2020-05-16 14:00:00,3,6208.25,608.2125,5029.625,6999062.625
False,A,2020-05-16 14:15:00,3,8829.0,863.7857143,5216.285714,6999249.286
False,A,2020-05-16 14:30:00,3,7592.375,743.275,5424.75,6999457.75
False,A,2020-05-16 14:45:00,3,7120.571429,697.2571429,5603.285714,6999636.286
False,A,2020-05-16 15:00:00,3,7138.625,699.05,5773.5,6999806.5
False,A,2020-05-16 15:15:00,3,5957.285714,583.7142857,5940.142857,6999973.143
False,A,2020-05-16 15:30:00,3,5218.714286,511.5857143,6071.428571,7000104.429
False,A,2020-05-16 15:45:00,3,3906.875,383.9,6182.625,7000215.625
False,A,2020-05-16 16:00:00,3,3445.428571,338.7428571,6272.571429,7000305.571
False,A,2020-05-16 16:15:00,3,2942.625,288.775,6350.75,7000383.75
False,A,2020-05-16 16:30:00,3,2637.571429,258.6571429,6419.857143,7000452.857
False,A,2020-05-16 16:45:00,3,2248.0,220.4125,6479.125,7000512.125
False,A,2020-05-16 17:00:00,3,1990.714286,195.1571429,6531.714286,7000564.714
False,A,2020-05-16 17:15:00,3,1616.25,158.0875,6576.125,7000609.125
False,A,2020-05-16 17:30:00,3,1184.571429,115.2,6611.0,7000644.0
False,A,2020-05-16 17:45:00,3,757.25,73.4375,6635.125,7000668.125
False,A,2020-05-16 18:00:00,3,391.0,37.78571429,6649.142857,7000682.143
False,A,2020-05-16 18:15:00,3,119.75,11.55,6655.0,7000688.0
False,A,2020-05-17 06:15:00,3,130.2857143,12.54285714,1.285714286,7000690.286
False,A,2020-05-17 06:30:00,3,466.75,45.1375,8.125,7000697.125
False,A,2020-05-17 06:45:00,3,942.8571429,91.57142857,24.28571429,7000713.286
False,A,2020-05-17 07:00:00,3,1490.625,145.625,53.625,7000742.625
False,A,2020-05-17 07:15:00,3,2782.0,272.9142857,105.7142857,7000794.714
False,A,2020-05-17 07:30:00,3,2967.571429,291.3285714,167.5714286,7000856.571
False,A,2020-05-17 07:45:00,3,4571.125,448.6125,260.75,7000949.75
False,A,2020-05-17 08:00:00,3,5484.142857,537.5285714,389.0,7001078.0
False,A,2020-05-17 08:15:00,3,5419.625,531.2125,524.875,7001213.875
False,A,2020-05-17 08:30:00,3,5773.428571,565.8714286,658.2857143,7001347.286
False,A,2020-05-17 08:45:00,3,7749.125,758.5625,824.625,7001513.625
False,A,2020-05-17 09:00:00,3,8229.285714,805.4,1027.571429,7001716.571
False,A,2020-05-17 09:15:00,3,6436.5,630.3875,1188.125,7001877.125
False,A,2020-05-17 09:30:00,3,8514.857143,833.1571429,1395.428571,7002084.429
False,A,2020-05-17 09:45:00,3,10689.625,1044.3875,1623.75,7002312.75
False,A,2020-05-17 10:00:00,3,10474.28571,1023.228571,1892.857143,7002581.857
False,A,2020-05-17 10:15:00,3,10030.0,980.65,2133.5,7002822.5
False,A,2020-05-17 10:30:00,3,11445.71429,1117.142857,2397.571429,7003086.571
False,A,2020-05-17 10:45:00,3,11162.125,1088.9875,2691.875,7003380.875
False,A,2020-05-17 11:00:00,3,12654.42857,1233.8,2957.571429,7003646.571
False,A,2020-05-17 11:15:00,3,12974.0,1264.95,3272.25,7003961.25
False,A,2020-05-17 11:30:00,3,12031.0,1173.828571,3585.142857,7004274.143
False,A,2020-05-17 11:45:00,3,10864.75,1060.0375,3863.25,7004552.25
True,A,2020-05-17 12:00:00,3,10524.85714,1028.314286,4106.857143,7004795.857
False,A,2020-05-17 12:15:00,3,10330.85714,1008.814286,4345.0,7005034.0
False,A,2020-05-17 12:30:00,3,7456.125,729.225,4564.5,7005253.5
False,A,2020-05-17 12:45:00,3,13217.42857,1288.9,4806.714286,7005495.714
False,A,2020-05-17 13:00:00,3,6893.25,674.8125,5055.125,7005744.125
False,A,2020-05-17 13:15:00,3,6723.0,657.4714286,5182.571429,7005871.571
False,A,2020-05-17 13:30:00,3,10403.5,1015.75,5427.5,7006116.5
False,A,2020-05-17 13:45:00,3,8981.428571,877.6714286,5639.428571,7006328.429
False,A,2020-05-17 14:00:00,3,6934.25,678.525,5868.75,7006557.75
False,A,2020-05-17 14:15:00,3,6541.571429,640.2714286,6008.285714,7006697.286
False,A,2020-05-17 14:30:00,3,5312.75,520.6,6159.125,7006848.125
True,A,2020-05-17 14:45:00,3,10865.14286,1061.7,6334.571429,7007023.571
False,A,2020-05-17 15:00:00,3,9770.75,955.475,6582.375,7007271.375
False,A,2020-05-17 15:15:00,3,7014.285714,686.7285714,6791.285714,7007480.286
False,A,2020-05-17 15:30:00,3,7253.0,709.8625,6972.875,7007661.875
False,A,2020-05-17 15:45:00,3,4026.857143,395.3714286,7101.428571,7007790.429
False,A,2020-05-17 16:00:00,3,6403.375,627.175,7245.625,7007934.625
False,A,2020-05-17 16:15:00,3,4976.0,487.9142857,7374.571429,7008063.571
False,A,2020-05-17 16:30:00,3,4494.142857,440.8571429,7487.285714,7008176.286
False,A,2020-05-17 16:45:00,3,3758.875,369.1875,7591.125,7008280.125
False,A,2020-05-17 17:00:00,3,2011.571429,197.2285714,7662.142857,7008351.143
False,A,2020-05-17 17:15:00,3,1572.0,153.9625,7707.5,7008396.5
False,A,2020-05-17 17:30:00,3,1372.714286,133.6142857,7744.857143,7008433.857
False,A,2020-05-17 17:45:00,3,883.25,85.7375,7773.375,7008462.375
False,A,2020-05-17 18:00:00,3,319.0,30.84285714,7787.428571,7008476.429
False,A,2020-05-17 18:15:00,3,129.0,12.4375,7792.5,7008481.5
False,A,2020-05-18 06:00:00,3,72.875,7.0375,0.375,7008483.375
False,A,2020-05-18 06:15:00,3,378.7142857,36.58571429,5.142857143,7008488.143
False,A,2020-05-18 06:30:00,3,761.0,73.8,18.75,7008501.75
False,A,2020-05-18 06:45:00,3,1163.714286,113.1571429,42.14285714,7008525.143
